isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Sky,990.35,116.62,0.00%,49.68,17.61,49.96,7.25%,9.41,South West,0.00%,17.3,FTTC,0.00%,141058.0,48.01,10.43,0.00%
Sky,2665.0,1122.38,0.08%,3.4,0.35,3.31,9.91%,18.59,East,0.00%,0.23,ADSL2,0.00%,655692.0,3.2,31.6,100.00%
Comcast,1008.2,506.34,0.08%,11.5,0.82,11.53,6.74%,23.99,West Midlands,0.00%,0.79,ADSL2,0.00%,942348.0,11.48,25.38,1.79%
Sky,963.66,116.83,0.00%,61.85,18.46,62.25,3.24%,10.58,Yorkshire & Humberside,0.00%,18.19,FTTC,0.00%,175574.0,60.41,24.92,0.00%
Verizon,997.9,87.97,0.02%,73.58,18.68,74.56,3.05%,6.04,London,0.00%,18.24,FTTC,0.00%,143206.0,71.45,11.0,0.00%
Comcast,631.13,284.61,0.00%,163.37,9.99,162.86,3.42%,18.84,West Midlands,0.00%,9.8,Cable,0.00%,661098.0,159.65,15.99,0.00%
Virgin,446.89,153.7,0.03%,37.35,7.81,37.25,2.88%,13.59,North West,0.00%,7.54,FTTC,0.00%,941534.0,37.21,5.24,0.00%
Comcast,495.14,285.01,0.01%,202.83,18.7,207.92,3.64%,27.85,West Midlands,0.00%,11.04,Cable,0.00%,1011994.0,186.72,22.88,0.00%
Verizon,1140.18,153.37,0.32%,59.54,18.57,58.86,1.97%,15.34,Scotland,0.00%,17.42,FTTC,0.00%,814135.0,58.83,15.83,0.00%
Verizon,1003.87,248.41,0.00%,56.46,18.68,56.03,3.02%,27.23,North East,0.00%,18.47,FTTC,0.00%,813115.0,56.31,16.54,0.00%
Sky,600.92,242.31,0.96%,42.88,18.35,44.8,3.43%,11.41,North West,0.00%,16.07,FTTC,0.00%,663104.0,42.72,14.8,0.00%
Comcast,659.36,243.98,0.00%,167.75,20.7,163.17,2.04%,20.13,Scotland,0.00%,17.28,Cable,0.00%,168256.0,166.9,12.0,0.00%
Comcast,508.69,284.15,0.07%,259.25,36.67,326.67,3.60%,20.62,North East,0.00%,33.66,Cable,0.00%,1012036.0,193.28,11.82,0.00%
BT,607.28,226.3,0.22%,46.16,28.61,53.5,0.00%,11.07,Yorkshire & Humberside,0.00%,21.63,FTTP,0.65%,1012216.0,40.22,6.94,0.00%
Verizon,1021.53,164.91,0.44%,45.9,9.38,46.1,3.68%,15.7,Scotland,0.00%,8.73,FTTC,0.00%,142958.0,45.11,68.47,0.00%
Comcast,922.08,222.86,0.12%,150.43,36.83,142.22,3.20%,16.01,North West,0.00%,36.06,Cable,0.00%,62642.0,114.06,11.39,0.00%
Comcast,608.24,259.12,0.00%,219.36,20.99,219.31,3.46%,15.91,East,0.00%,20.92,Cable,0.00%,821003.0,218.57,10.84,0.00%
Verizon,901.65,103.17,0.00%,74.65,18.68,74.51,0.00%,8.44,South West,0.00%,18.56,FTTC,0.00%,143800.0,74.44,10.46,0.00%
AT&T,1043.6,145.04,0.02%,73.14,17.87,73.77,4.12%,15.1,East,0.00%,17.62,FTTC,0.28%,388971.0,73.28,20.55,0.00%
Verizon,1024.29,126.97,0.09%,54.44,17.08,55.11,3.18%,11.16,Yorkshire & Humberside,0.00%,16.16,FTTC,0.00%,659952.0,52.55,44.03,0.00%
Verizon,976.84,257.56,0.03%,70.64,14.03,70.45,2.81%,10.1,Wales,0.00%,13.67,FTTC,0.00%,141584.0,70.43,11.11,0.00%
Virgin,963.62,203.55,0.08%,21.51,1.89,22.07,3.49%,9.01,East,0.00%,1.8,FTTC,0.00%,143658.0,20.79,9.25,0.00%
Comcast,502.06,257.43,0.00%,76.71,5.02,76.74,3.85%,14.66,London,0.00%,4.92,Cable,0.00%,941584.0,76.67,12.03,0.00%
Verizon,653.24,105.58,0.00%,72.15,20.82,72.19,3.79%,10.21,South West,0.00%,20.73,FTTP,0.00%,656126.0,72.06,19.08,0.00%
Verizon,1043.16,112.81,0.05%,60.47,18.46,60.98,3.45%,9.38,South West,0.00%,18.2,FTTC,0.07%,812798.0,60.36,20.87,0.00%
Comcast,609.02,187.09,0.00%,217.26,20.72,218.76,3.77%,18.56,West Midlands,0.00%,19.26,Cable,0.00%,563320.0,214.97,12.65,0.00%
Sky,980.38,108.57,0.00%,50.98,8.45,51.12,3.42%,7.28,South East,0.00%,8.38,FTTC,0.14%,181552.0,50.92,8.7,0.00%
Comcast,469.94,182.39,0.00%,62.68,18.58,64.69,6.06%,9.52,East Midlands,0.00%,16.36,FTTC,0.00%,947354.0,63.45,9.98,4.04%
AT&T,2449.59,1159.38,0.55%,3.47,0.74,3.44,9.17%,16.07,East,0.00%,0.73,ADSL1,1.67%,156256.0,3.42,14.26,99.43%
Virgin,1064.93,197.51,0.03%,35.88,9.39,33.89,2.58%,15.56,North West,0.00%,8.94,FTTC,0.00%,30288.0,33.24,9.46,0.00%
Comcast,643.29,322.4,0.00%,332.57,35.91,325.88,5.29%,21.41,Scotland,0.00%,33.74,Cable,0.00%,252020.0,324.32,15.59,0.00%
Comcast,484.22,254.92,0.00%,109.09,10.03,111.14,4.74%,16.03,East,0.00%,9.77,Cable,0.00%,984791.0,107.49,14.32,0.00%
Sky,1270.47,199.41,0.00%,49.36,6.68,50.94,3.46%,20.55,Northern Ireland,0.00%,6.16,FTTC,0.07%,59877.0,47.92,29.12,0.00%
Verizon,595.81,90.68,0.00%,59.72,15.79,59.54,4.30%,6.53,South East,0.00%,15.43,FTTC,0.00%,211252.0,59.72,7.85,0.00%
Comcast,542.01,281.4,3.35%,74.95,10.02,78.61,2.92%,16.68,South West,0.00%,9.87,Cable,0.00%,941010.0,75.91,13.53,0.00%
