object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1973.0,712304.0,2020/12/11 05:00:00+00,INTERNATIONAL KIDS ACADEMY,3630 ELDERWOOD WAY,40215.0,2020/12/11 05:00:00+00,4,SURVEY
1974.0,712306.0,2020/12/11 05:00:00+00,KUHL'S LIQUORS & DELI,7302 GRADE LN,40219.0,2020/12/11 05:00:00+00,4,SURVEY
1975.0,712307.0,2020/12/11 05:00:00+00,PEACE OF MIND PRESCHOOL,3730 MANSLICK RD,40215.0,2020/12/11 05:00:00+00,4,SURVEY
1976.0,712311.0,2020/12/11 05:00:00+00,CHEDDAR'S SCRATCH KITCHEN #2142,3521 OUTER LOOP,40219.0,2020/12/11 05:00:00+00,4,SURVEY
1977.0,712312.0,2020/12/11 05:00:00+00,STOOGES,7123 GRADE LN,40213.0,2020/12/11 05:00:00+00,4,SURVEY
1978.0,712327.0,2020/12/11 05:00:00+00,RAINBOW BLOSSOM,3738 LEXINGTON RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1979.0,712331.0,2020/12/11 05:00:00+00,STARBUCKS #10559,3702 FRANKFORT AVE,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1980.0,712334.0,2020/12/11 05:00:00+00,COALS ARTISAN PIZZA,3724 FRANKFORT AVE,40206.0,2020/12/11 05:00:00+00,4,SURVEY
1981.0,712337.0,2020/12/11 05:00:00+00,EDIBLE ARRANGEMENTS,3701 LEXINGTON RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1982.0,712339.0,2020/12/11 05:00:00+00,MEXA STEAK TACOS,3701 LEXINGTON RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1983.0,712344.0,2020/12/11 05:00:00+00,BURGERIM,3733 LEXINGTON RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1984.0,712345.0,2020/12/11 05:00:00+00,COOKING AT THE COTTAGE,3739 LEXINGTON RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1985.0,712347.0,2020/12/11 05:00:00+00,LAZER BLAZE,4121 SHELBYVILLE RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1986.0,712349.0,2020/12/11 05:00:00+00,DOLLAR TREE,4121 SHELBYVILLE RD,40207.0,2020/12/11 05:00:00+00,4,SURVEY
1987.0,712351.0,2020/12/11 05:00:00+00,BIG LOTS #226,4121 SHELBYVILLE RD,40205.0,2020/12/11 05:00:00+00,4,SURVEY
1988.0,712367.0,2020/12/11 05:00:00+00,TAJ PALACE,2929 GOOSE CREEK RD,40241.0,2020/12/11 05:00:00+00,4,SURVEY
1989.0,712369.0,2020/12/11 05:00:00+00,EL NOPAL,9451 WESTPORT RD,40241.0,2020/12/11 05:00:00+00,4,SURVEY
1990.0,712370.0,2020/12/11 05:00:00+00,SONAL'S KITCHEN,3741 PAMELA RAE DR,40241.0,2020/12/11 05:00:00+00,4,SURVEY
1991.0,712372.0,2020/12/11 05:00:00+00,EL NOPAL,12418 LAGRANGE RD,40245.0,2020/12/11 05:00:00+00,4,SURVEY
1992.0,712373.0,2020/12/11 05:00:00+00,GUSTAVOS MEXICAN GRILL @ NORTON COMMONS,10715 MEETNG ST,40059.0,2020/12/11 05:00:00+00,4,SURVEY
1993.0,712376.0,2020/12/11 05:00:00+00,OLD SCHOOL NY PIZZA,10600 MEETING ST,40059.0,2020/12/11 05:00:00+00,4,SURVEY
1994.0,712377.0,2020/12/11 05:00:00+00,DOS AZTECAS,9207 US HWY 42,40059.0,2020/12/11 05:00:00+00,4,SURVEY
1995.0,712379.0,2020/12/11 05:00:00+00,SEASONED PUB & GRILL,6021 TIMBER RIDGE DR,40059.0,2020/12/11 05:00:00+00,4,SURVEY
1996.0,712389.0,2020/12/11 05:00:00+00,O'CHARLEY'S,1901 S HURSTBOURNE PKWY,40220.0,2020/12/11 05:00:00+00,4,SURVEY
1997.0,712390.0,2020/12/11 05:00:00+00,MARRIOTT LOUISVILLE EAST,1903 EMBASSY SQUARE BLVD,40299.0,2020/12/11 05:00:00+00,4,SURVEY
1998.0,712391.0,2020/12/11 05:00:00+00,IHOP,1401 S HURSTBOURNE PKWY,40222.0,2020/12/11 05:00:00+00,4,SURVEY
1999.0,712396.0,2020/12/11 05:00:00+00,BROWNIES THE SHED GRILL & BAR,9900 LINN STATION RD,40223.0,2020/12/11 05:00:00+00,4,SURVEY
2000.0,712396.0,2020/12/11 0:00:00+00,BROWNIEST HE SHED GRILL & BAR,9900 LNIN STATION RD,40274.0,2020/12/11 05:00:00+00,4,SURVEY
2001.0,713224.0,2020/12/18 05:00:00+00,TASTY DONUTS,8683 PRESTON HWY,40219.0,2020/12/18 05:00:00+00,4,SURVEY
2002.0,713225.0,2020/12/18 05:00:00+00,LA MORENA,8659 PRESTON HWY,40219.0,2020/12/18 05:00:00+00,4,SURVEY
2003.0,713254.0,2020/12/21 05:00:00+00,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,40241.0,2020/12/21 05:00:00+00,4,SURVEY
2004.0,713246.0,2020/12/19 05:00:00+00,HARBOUR FREIGHT,2249 HIKES LN.,40218.0,2020/12/19 05:00:00+00,4,SURVEY
2005.0,713247.0,2020/12/19 05:00:00+00,METRO BY T MOBILE,2253 HIKES LN.,40218.0,2020/12/19 05:00:00+00,4,SURVEY
2006.0,713248.0,2020/12/19 05:00:00+00,BESTWAY,2247 HIKES LN.,40218.0,2020/12/19 05:00:00+00,4,SURVEY
