crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
b36176d570b7386576f3411418ca75540e9ccb06e79b2f278fe4e4216c88f8af,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
77cc4ac0e89e3d3cd5b0b4fb5d4f1d30e0d3a7809d2081cbdf18e42aba2db742,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
d752341560794f3388c262da4bbbf4c74c0fb21d7444639a09de1a1516c76520,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
11b49bbedd6272fbecf1b17172d9af8612bfeea8bca943fa913617fca47e1c8c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
7ffb15b295b80e5332983d84ffb9e6eada823c46739a2530a2b79f5b8078d15e,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
755f8d32b2a19b5fa7dfec273eda532ec9bb95daf91e9478338b92570daf3332,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
741e5a059d024c53c88e3798f191e4258b52274956c767cb2cf29df0b4cb3f3d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
1646485592d12ed1cb6162f1fff8c6885ad59d9ab390c605f294aa2ac855e4ca,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
7c78d29f8a1775f5ad17204b4d4bdd03771c6d3390fde368fb49accdfd53248e,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
5b3c33809ab8d2dc7bf95e3fef76fec25698beeb403adc0c67ecbcf520d313af,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
b364549122c0964297abb8d4c39d8168d07739f3af10200709b6158e9120954c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
442b97a52c36ecb8f5bc2988b8fe9209fe885e19804a72eb6f90c7da5d1722ab,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
9f6ece9ba2da5d89efe9bde37eb950f46c0e23acd5520160389bb1f01e952771,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
9e749acdab6da431aefa622db1f2e2fea5511ef7797dbc6185e6998f9ff9c960,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c0c26a7711f7a7b63ba5789f904fe08ce3174670e68abcc502988cf07b20d943,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
3d149161b1bd43cefa9b68754bca01c7f7014ec5545a220047e03ee5ede010a9,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
000b313593e3f11c9c4007fef6257c7b219fce97dc1d91828a102607429bac7d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
d4719d2d076329db9b28a2a1acad35abd84c5e4799669679c99bfdb853511f73,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
92507d329d709adffda25bd09b8f334f0bc46863960250bc4112fd8f4ece82e9,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
d8b9d4efb6bd89abfc6161e2b3ff6f1348a122fae31bd553de376a33ccc9cd4f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c2dfd9e8e64c004d2b2324925c667018ffe9114a4a91d4c1b005dff5fa9de69c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
97e4c2676a8d6879976b61a84a62fb90a1bc0a02cb0e23c94e33dae299674463,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
